Created Date,Problem,Problem Detail,Longitude,Latitude
03/20/2026 02:25:13 AM,Street Condition,Pothole,-73.80449242148,40.67227823545
03/20/2026 02:20:04 AM,Street Condition,Pothole,-73.8271876645,40.69237065493
03/20/2026 02:19:17 AM,Street Condition,Pothole,-73.70700800972,40.74177768353
03/20/2026 02:19:14 AM,Street Condition,Pothole,-73.77763013225,40.66414056698
03/20/2026 02:18:21 AM,Street Condition,Pothole,-73.82800911284,40.69405168718
03/20/2026 02:16:24 AM,Street Condition,Pothole,-73.78940839883,40.66684164324
03/20/2026 02:14:15 AM,Street Condition,Pothole,-73.78808751751,40.67300949336
03/20/2026 02:13:06 AM,Street Condition,Pothole,-73.78882941859,40.66982416323
03/20/2026 02:11:23 AM,Street Condition,Pothole,-73.72488367009,40.74138809918
03/20/2026 02:06:06 AM,Blocked Driveway,No Access,-73.99199133022,40.62946626857
03/20/2026 02:05:57 AM,Consumer Complaint,Stoop Line Stand,-73.99825336989,40.60460969196
03/20/2026 02:05:24 AM,Indoor Air Quality,Other (Explain Below),-73.94454974936,40.83567474026
03/20/2026 02:04:50 AM,Illegal Parking,Blocked Bike Lane,-73.93758513641,40.76719573598
03/20/2026 02:04:23 AM,Traffic,Chronic Speeding,-73.80969682426,40.72195913199
03/20/2026 02:04:17 AM,Illegal Parking,Parking Permit Improper Use,-73.89965674066,40.86594322371
03/20/2026 02:04:04 AM,Illegal Parking,Blocked Hydrant,-73.91044034926,40.6977711953
03/20/2026 02:03:35 AM,Illegal Parking,Posted Parking Sign Violation,-73.90953947811,40.81950817438
03/20/2026 02:03:13 AM,Illegal Parking,Blocked Hydrant,-73.81633041081,40.72751432737
03/20/2026 02:02:47 AM,Noise - Commercial,Loud Music/Party,-73.93977641876,40.70735853887
03/20/2026 02:02:39 AM,Illegal Parking,Blocked Hydrant,-74.0260650782,40.62017522171
03/20/2026 02:02:11 AM,Noise - Commercial,Loud Music/Party,-74.24252230733,40.50737114937
03/20/2026 02:01:55 AM,Noise - Residential,Loud Talking,-73.80969682426,40.72195913199
03/20/2026 02:01:25 AM,Noise - House of Worship,Loud Talking,-73.80969682426,40.72195913199
03/20/2026 02:01:08 AM,Illegal Parking,Blocked Hydrant,-74.02663755319,40.61951085082
03/20/2026 02:00:44 AM,Noise - House of Worship,Loud Talking,-73.80969682426,40.72195913199
03/20/2026 02:00:29 AM,Noise - Residential,Loud Music/Party,-73.80969682426,40.72195913199
03/20/2026 01:59:58 AM,Noise - Street/Sidewalk,Loud Music/Party,-73.9348316214,40.76987856812
03/20/2026 01:59:57 AM,Blocked Driveway,No Access,-73.96745935664,40.58101354727
03/20/2026 01:59:57 AM,Drug Activity,Use Outside,-73.80969682426,40.72195913199